d_id,d_name
1,Belagavi
2,Bagalkot
3,Vijayapura
4,Kalburgi
5,Bidar
6,Raichur
7,Koppal
8,Gadag
9,Dharwad
10,Uttara Kannada
11,Haveri
12,Ballari
13,Chitradurga
14,Davanagere
15,Shivamogga
16,Udupi
17,Chikkamagaluru
18,Tumakuru
19,Kolara
20,Bengaluru (Urban)
21,Bengaluru (Rural)
22,Mandya
23,Hassan
24,Dakshina Kannada
25,Kodagu
26,Mysuru
27,Chamarajanagara
28,Chikkaballapura
29,Ramanagara
30,Yadgir
31,Vijayanagara
